"time_est","time","est_hour","weekday_est","movement","count1"
"1485850955049","2017/01/31 08:22:35","8","2","2","2"
"1486053390172","2017/02/02 16:36:30","16","4","2","2"
"1486061764103","2017/02/02 18:56:04","18","4","2","1"
"1486061789129","2017/02/02 18:56:29","18","4","2","1"
"1486061796110","2017/02/02 18:56:36","18","4","2","1"
"1486061803114","2017/02/02 18:56:43","18","4","2","1"
"1486061805169","2017/02/02 18:56:45","18","4","2","1"
"1486061810109","2017/02/02 18:56:50","18","4","2","1"
"1486061816104","2017/02/02 18:56:56","18","4","2","1"
"1486061821142","2017/02/02 18:57:01","18","4","2","1"
"1486061822163","2017/02/02 18:57:02","18","4","2","1"
"1486061829148","2017/02/02 18:57:09","18","4","2","1"
"1486061836132","2017/02/02 18:57:16","18","4","2","1"
"1486061838101","2017/02/02 18:57:18","18","4","2","1"
"1486061844128","2017/02/02 18:57:24","18","4","2","1"
"1486061854113","2017/02/02 18:57:34","18","4","2","1"
"1486061864152","2017/02/02 18:57:44","18","4","2","1"
"1486061870129","2017/02/02 18:57:50","18","4","2","1"
"1486061875114","2017/02/02 18:57:55","18","4","2","1"
"1486061876135","2017/02/02 18:57:56","18","4","2","1"
"1486061881140","2017/02/02 18:58:01","18","4","2","1"
"1486061889121","2017/02/02 18:58:09","18","4","2","1"
"1486061906091","2017/02/02 18:58:26","18","4","2","1"
"1486061914117","2017/02/02 18:58:34","18","4","2","1"
"1486061922145","2017/02/02 18:58:42","18","4","2","1"
"1486061927151","2017/02/02 18:58:47","18","4","2","1"
"1486061929247","2017/02/02 18:58:49","18","4","2","1"
"1486061937302","2017/02/02 18:58:57","18","4","2","1"
"1486061944103","2017/02/02 18:59:04","18","4","2","1"
"1486061946262","2017/02/02 18:59:06","18","4","2","1"
"1486061952089","2017/02/02 18:59:12","18","4","2","1"
"1486061960203","2017/02/02 18:59:20","18","4","2","1"
"1486061965149","2017/02/02 18:59:25","18","4","2","1"
"1486061969154","2017/02/02 18:59:29","18","4","2","1"
"1486062036198","2017/02/02 19:00:36","19","4","2","1"
"1486062050091","2017/02/02 19:00:50","19","4","2","1"
"1486062050113","2017/02/02 19:00:50","19","4","2","1"
"1486062060083","2017/02/02 19:01:00","19","4","2","1"
"1486062079110","2017/02/02 19:01:19","19","4","2","1"
"1486062098150","2017/02/02 19:01:38","19","4","2","1"
"1486062101078","2017/02/02 19:01:41","19","4","2","1"
"1486062109092","2017/02/02 19:01:49","19","4","2","1"
"1486062117231","2017/02/02 19:01:57","19","4","2","1"
"1486062117236","2017/02/02 19:01:57","19","4","2","1"
"1486062170118","2017/02/02 19:02:50","19","4","2","1"
"1486062177162","2017/02/02 19:02:57","19","4","2","1"
"1486062178164","2017/02/02 19:02:58","19","4","2","1"
"1486062187091","2017/02/02 19:03:07","19","4","2","1"
"1486062211089","2017/02/02 19:03:31","19","4","2","1"
"1486062214102","2017/02/02 19:03:34","19","4","2","1"
"1486062220193","2017/02/02 19:03:40","19","4","2","1"
"1486062230102","2017/02/02 19:03:50","19","4","2","1"
"1486062248217","2017/02/02 19:04:08","19","4","2","1"
"1486062251109","2017/02/02 19:04:11","19","4","2","1"
"1486062261100","2017/02/02 19:04:21","19","4","2","1"
"1486062270096","2017/02/02 19:04:30","19","4","2","1"
"1486062271088","2017/02/02 19:04:31","19","4","2","1"
"1486062278082","2017/02/02 19:04:38","19","4","2","1"
"1486062290098","2017/02/02 19:04:50","19","4","2","1"
"1486062303165","2017/02/02 19:05:03","19","4","2","1"
"1486062308160","2017/02/02 19:05:08","19","4","2","1"
"1486062319124","2017/02/02 19:05:19","19","4","2","1"
"1486062331092","2017/02/02 19:05:31","19","4","2","1"
"1486062331098","2017/02/02 19:05:31","19","4","2","1"
"1486062530098","2017/02/02 19:08:50","19","4","2","1"
"1486062556143","2017/02/02 19:09:16","19","4","2","1"
"1486062574101","2017/02/02 19:09:34","19","4","2","1"
"1486062606183","2017/02/02 19:10:06","19","4","2","1"
"1486062614125","2017/02/02 19:10:14","19","4","2","1"
"1486062615154","2017/02/02 19:10:15","19","4","2","1"
"1486062625121","2017/02/02 19:10:25","19","4","2","1"
"1486062633107","2017/02/02 19:10:33","19","4","2","1"
"1486062636101","2017/02/02 19:10:36","19","4","2","1"
"1486062642174","2017/02/02 19:10:42","19","4","2","1"
"1486062660142","2017/02/02 19:11:00","19","4","2","1"
"1486062680210","2017/02/02 19:11:20","19","4","2","1"
"1486062689183","2017/02/02 19:11:29","19","4","2","1"
"1486062697111","2017/02/02 19:11:37","19","4","2","1"
"1486062699089","2017/02/02 19:11:39","19","4","2","1"
"1486062706146","2017/02/02 19:11:46","19","4","2","1"
"1486062714115","2017/02/02 19:11:54","19","4","2","1"
"1486062732171","2017/02/02 19:12:12","19","4","2","1"
"1486062736234","2017/02/02 19:12:16","19","4","2","1"
"1486062744102","2017/02/02 19:12:24","19","4","2","1"
"1486062754131","2017/02/02 19:12:34","19","4","2","1"
"1486062778112","2017/02/02 19:12:58","19","4","2","1"
"1486062788133","2017/02/02 19:13:08","19","4","2","1"
"1486062796132","2017/02/02 19:13:16","19","4","2","1"
"1486062800141","2017/02/02 19:13:20","19","4","2","1"
"1486062820103","2017/02/02 19:13:40","19","4","2","1"
"1486062832124","2017/02/02 19:13:52","19","4","2","1"
"1486062858134","2017/02/02 19:14:18","19","4","2","1"
"1486073174110","2017/02/02 22:06:14","22","4","2","1"
"1486073193159","2017/02/02 22:06:33","22","4","2","1"
"1486073198189","2017/02/02 22:06:38","22","4","2","1"
"1486073203166","2017/02/02 22:06:43","22","4","2","1"
"1486073214143","2017/02/02 22:06:54","22","4","2","1"
"1486073226169","2017/02/02 22:07:06","22","4","2","1"
"1486073226172","2017/02/02 22:07:06","22","4","2","1"
"1486073237121","2017/02/02 22:07:17","22","4","2","1"
"1486073246163","2017/02/02 22:07:26","22","4","2","1"
"1486073251262","2017/02/02 22:07:31","22","4","2","1"
"1486073359186","2017/02/02 22:09:19","22","4","2","1"
"1486073377129","2017/02/02 22:09:37","22","4","2","1"
"1486073379100","2017/02/02 22:09:39","22","4","2","1"
"1486073389130","2017/02/02 22:09:49","22","4","2","1"
"1486073399100","2017/02/02 22:09:59","22","4","2","1"
"1486073416124","2017/02/02 22:10:16","22","4","2","1"
"1486073425134","2017/02/02 22:10:25","22","4","2","1"
"1486073429139","2017/02/02 22:10:29","22","4","2","1"
"1486073436212","2017/02/02 22:10:36","22","4","2","1"
"1486073446122","2017/02/02 22:10:46","22","4","2","1"
"1486073460241","2017/02/02 22:11:00","22","4","2","1"
"1486073462181","2017/02/02 22:11:02","22","4","2","1"
"1486073469106","2017/02/02 22:11:09","22","4","2","1"
"1486073477138","2017/02/02 22:11:17","22","4","2","1"
"1486073478108","2017/02/02 22:11:18","22","4","2","1"
"1486073486148","2017/02/02 22:11:26","22","4","2","1"
"1486073499098","2017/02/02 22:11:39","22","4","2","1"
"1486073508147","2017/02/02 22:11:48","22","4","2","1"
"1486073512114","2017/02/02 22:11:52","22","4","2","1"
"1486073517169","2017/02/02 22:11:57","22","4","2","1"
"1486073541191","2017/02/02 22:12:21","22","4","2","1"
"1486073542169","2017/02/02 22:12:22","22","4","2","1"
"1486073559107","2017/02/02 22:12:39","22","4","2","1"
"1486073570111","2017/02/02 22:12:50","22","4","2","1"
"1486073574184","2017/02/02 22:12:54","22","4","2","1"
"1486073619200","2017/02/02 22:13:39","22","4","2","1"
"1486073629163","2017/02/02 22:13:49","22","4","2","1"
"1486073635204","2017/02/02 22:13:55","22","4","2","1"
"1486073639134","2017/02/02 22:13:59","22","4","2","1"
"1486073649080","2017/02/02 22:14:09","22","4","2","1"
"1486073671163","2017/02/02 22:14:31","22","4","2","1"
"1486073685203","2017/02/02 22:14:45","22","4","2","1"
"1486073713228","2017/02/02 22:15:13","22","4","2","1"
"1486073717206","2017/02/02 22:15:17","22","4","2","1"
"1486073724242","2017/02/02 22:15:24","22","4","2","1"
"1486073731239","2017/02/02 22:15:31","22","4","2","1"
