"time_est","time","est_hour","weekday_est","movement","count1"
"1485720456534","2017/01/29 20:07:36","20","7","0","1"
"1485720457144","2017/01/29 20:07:37","20","7","0","1"
"1485720457150","2017/01/29 20:07:37","20","7","0","1"
"1485720457155","2017/01/29 20:07:37","20","7","0","1"
"1485720626864","2017/01/29 20:10:26","20","7","0","1"
"1485720627671","2017/01/29 20:10:27","20","7","0","1"
"1485720627994","2017/01/29 20:10:27","20","7","0","1"
"1485721172646","2017/01/29 20:19:32","20","7","0","1"
"1485721173202","2017/01/29 20:19:33","20","7","0","1"
"1485721576793","2017/01/29 20:26:16","20","7","0","1"
"1485721577037","2017/01/29 20:26:17","20","7","0","1"
"1485721577041","2017/01/29 20:26:17","20","7","0","1"
"1485721577062","2017/01/29 20:26:17","20","7","0","1"
"1485721587131","2017/01/29 20:26:27","20","7","0","1"
"1485721933536","2017/01/29 20:32:13","20","7","0","1"
"1485721948426","2017/01/29 20:32:28","20","7","0","1"
"1485722506369","2017/01/29 20:41:46","20","7","0","1"
"1485722506501","2017/01/29 20:41:46","20","7","0","1"
"1485789057807","2017/01/30 15:10:57","15","1","0","1"
"1485789058322","2017/01/30 15:10:58","15","1","0","1"
"1485789058326","2017/01/30 15:10:58","15","1","0","1"
"1485789058330","2017/01/30 15:10:58","15","1","0","1"
"1485789116051","2017/01/30 15:11:56","15","1","0","1"
"1485789116644","2017/01/30 15:11:56","15","1","0","1"
"1485789116648","2017/01/30 15:11:56","15","1","0","1"
"1485789119692","2017/01/30 15:11:59","15","1","0","1"
"1485789120199","2017/01/30 15:12:00","15","1","0","1"
"1485789120203","2017/01/30 15:12:00","15","1","0","1"
"1485789120209","2017/01/30 15:12:00","15","1","0","1"
"1485789123251","2017/01/30 15:12:03","15","1","0","1"
"1485789123765","2017/01/30 15:12:03","15","1","0","1"
"1485789123772","2017/01/30 15:12:03","15","1","0","1"
"1485789123777","2017/01/30 15:12:03","15","1","0","1"
"1485789344018","2017/01/30 15:15:44","15","1","0","1"
"1485789354100","2017/01/30 15:15:54","15","1","0","1"
"1485789354402","2017/01/30 15:15:54","15","1","0","1"
"1485789685240","2017/01/30 15:21:25","15","1","0","1"
"1485789871628","2017/01/30 15:24:31","15","1","0","1"
"1485789956101","2017/01/30 15:25:56","15","1","0","1"
"1485789956129","2017/01/30 15:25:56","15","1","0","1"
"1485790173235","2017/01/30 15:29:33","15","1","0","1"
"1485790218490","2017/01/30 15:30:18","15","1","0","1"
"1485790218498","2017/01/30 15:30:18","15","1","0","1"
"1485790473908","2017/01/30 15:34:33","15","1","0","1"
"1485790473915","2017/01/30 15:34:33","15","1","0","1"
"1485790518561","2017/01/30 15:35:18","15","1","0","1"
"1485790518569","2017/01/30 15:35:18","15","1","0","1"
"1485790774642","2017/01/30 15:39:34","15","1","0","1"
"1485790774649","2017/01/30 15:39:34","15","1","0","1"
"1485790923944","2017/01/30 15:42:03","15","1","0","1"
"1485790923955","2017/01/30 15:42:03","15","1","0","1"
"1485791075506","2017/01/30 15:44:35","15","1","0","1"
"1485791075514","2017/01/30 15:44:35","15","1","0","1"
"1485791224021","2017/01/30 15:47:04","15","1","0","1"
"1485791224027","2017/01/30 15:47:04","15","1","0","1"
"1485791376222","2017/01/30 15:49:36","15","1","0","1"
"1485791376230","2017/01/30 15:49:36","15","1","0","1"
"1485791524089","2017/01/30 15:52:04","15","1","0","1"
"1485791524095","2017/01/30 15:52:04","15","1","0","1"
"1485791676970","2017/01/30 15:54:36","15","1","0","1"
