"time_est","time","est_hour","weekday_est","movement","count1"
"1485721170274","2017/01/29 20:19:30","20","7","1","1"
"1485721577048","2017/01/29 20:26:17","20","7","1","1"
"1485721948025","2017/01/29 20:32:28","20","7","1","1"
"1485789793101","2017/01/30 15:23:13","15","1","1","1"
"1485789793120","2017/01/30 15:23:13","15","1","1","1"
"1485794499682","2017/01/30 16:41:39","16","1","1","1"
"1485794534926","2017/01/30 16:42:14","16","1","1","1"
"1485794536358","2017/01/30 16:42:16","16","1","1","1"
"1485805753083","2017/01/30 19:49:13","19","1","1","1"
"1485805753088","2017/01/30 19:49:13","19","1","1","1"
"1485809358089","2017/01/30 20:49:18","20","1","1","1"
"1485809358095","2017/01/30 20:49:18","20","1","1","1"
"1485812963080","2017/01/30 21:49:23","21","1","1","1"
"1485812963085","2017/01/30 21:49:23","21","1","1","1"
"1485873561022","2017/01/31 14:39:21","14","2","1","1"
"1485875936107","2017/01/31 15:18:56","15","2","1","1"
"1485876521161","2017/01/31 15:28:41","15","2","1","1"
"1485876643159","2017/01/31 15:30:43","15","2","1","1"
"1485876643191","2017/01/31 15:30:43","15","2","1","1"
"1485876644276","2017/01/31 15:30:44","15","2","1","1"
"1485876644326","2017/01/31 15:30:44","15","2","1","1"
"1485894793798","2017/01/31 20:33:13","20","2","1","1"
"1485894794932","2017/01/31 20:33:14","20","2","1","1"
"1485894795469","2017/01/31 20:33:15","20","2","1","1"
"1485904373109","2017/01/31 23:12:53","23","2","1","1"
"1485904375072","2017/01/31 23:12:55","23","2","1","1"
"1485912757072","2017/02/01 01:32:37","1","3","1","1"
"1485912757077","2017/02/01 01:32:37","1","3","1","1"
"1485914401525","2017/02/01 02:00:01","2","3","1","1"
"1485914401530","2017/02/01 02:00:01","2","3","1","1"
"1485923567080","2017/02/01 04:32:47","4","3","1","1"
"1485923567085","2017/02/01 04:32:47","4","3","1","1"
"1485927173114","2017/02/01 05:32:53","5","3","1","1"
"1485927173123","2017/02/01 05:32:53","5","3","1","1"
"1485930778071","2017/02/01 06:32:58","6","3","1","1"
"1485930778079","2017/02/01 06:32:58","6","3","1","1"
"1485966392643","2017/02/01 16:26:32","16","3","1","1"
"1485968403103","2017/02/01 17:00:03","17","3","1","1"
"1485977258752","2017/02/01 19:27:38","19","3","1","2"
"1485988975173","2017/02/01 22:42:55","22","3","1","1"
"1485988975178","2017/02/01 22:42:55","22","3","1","1"
"1485992582080","2017/02/01 23:43:02","23","3","1","1"
"1485992582087","2017/02/01 23:43:02","23","3","1","1"
