id,time,time_est,est_hour,time_hour_est,date_est,day_est,weekday_est,unixtimeformat_time,date,phone_id,latitude,logitude,bearing,speed,altitude,provider,accuracy,movement
12289,1486838048108,1486820048108,13,1:34:08 PM,2017-02-11,11,6,18:34:08.108,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.45927,-79.921715,52.734375,8.1800003,282.57541,fused,6,2
12290,1486838056150,1486820056150,13,1:34:16 PM,2017-02-11,11,6,18:34:16.150,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.459618,-79.921135,56.601563,4.0599999,282.44864,gps,6.5,1
12291,1486838109126,1486820109126,13,1:35:09 PM,2017-02-11,11,6,18:35:09.126,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.459915,-79.920891,332.57813,7.04,285.3403,fused,6,2
12292,1486838155107,1486820155107,13,1:35:55 PM,2017-02-11,11,6,18:35:55.107,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.460419,-79.921883,292.85156,2.0999999,284.19858,fused,6,1
13128,1486910720106,1486892720106,9,9:45:20 AM,2017-02-12,12,7,14:45:20.106,2017-02-12,7d83e987-89ac-414a-a98d-51563cba516b,40.465542,-79.946854,221.13281,2.02,294.30038,fused,7,1
12402,1486848531097,1486830531097,16,4:28:51 PM,2017-02-11,11,6,21:28:51.097,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.461819,-79.966331,183.16406,2.8,240.858,fused,26,1
12377,1486845095355,1486827095355,15,3:31:35 PM,2017-02-11,11,6,20:31:35.355,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.450966,-79.98465,135,.87,267.95145,gps,31,1
12356,1486840801143,1486822801143,14,2:20:01 PM,2017-02-11,11,6,19:20:01.143,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.460247,-79.970909,239.76563,1.3200001,238.20804,gps,4,1
13525,1486946104264,1486928104264,19,7:35:04 PM,2017-02-12,12,7,00:35:04.264,2017-02-13,7d83e987-89ac-414a-a98d-51563cba516b,40.462135,-79.96476,-1,.00031812288,264.93634,fused,109,1
13524,1486946104252,1486928104252,19,7:35:04 PM,2017-02-12,12,7,00:35:04.252,2017-02-13,7d83e987-89ac-414a-a98d-51563cba516b,40.462135,-79.96476,-1,.00031812288,264.93634,gps,109.22947,1
9358,1486597369210,1486579369210,18,6:42:49 PM,2017-02-08,8,3,23:42:49.210,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.462994,-79.956749,257.34375,8.5,281.44327,fused,13,2
9357,1486597369002,1486579369002,18,6:42:49 PM,2017-02-08,8,3,23:42:49.002,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.462994,-79.956749,257.34375,8.5,281.44327,gps,13,2
9346,1486597185095,1486579185095,18,6:39:45 PM,2017-02-08,8,3,23:39:45.095,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.456223,-79.954948,347.69531,9.7799997,303.22141,gps,5.5,2
9345,1486597181103,1486579181103,18,6:39:41 PM,2017-02-08,8,3,23:39:41.103,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.455803,-79.954834,351.21094,13.63,303.3746,fused,5,2
9344,1486597173475,1486579173475,18,6:39:33 PM,2017-02-08,8,3,23:39:33.475,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.454906,-79.954597,349.10156,14.75,305.58322,fused,5,2
9343,1486597165970,1486579165970,18,6:39:25 PM,2017-02-08,8,3,23:39:25.970,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.45401,-79.954178,356.48438,15.3,274.23312,fused,121,2
9342,1486597165967,1486579165967,18,6:39:25 PM,2017-02-08,8,3,23:39:25.967,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.45401,-79.954178,356.48438,15.3,274.23312,gps,121,2
9335,1486597041256,1486579041256,18,6:37:21 PM,2017-02-08,8,3,23:37:21.256,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.447247,-79.952171,344.53125,10.53,286.45071,fused,7,2
9334,1486597019877,1486579019877,18,6:36:59 PM,2017-02-08,8,3,23:36:59.877,2017-02-08,7d83e987-89ac-414a-a98d-51563cba516b,40.446358,-79.951653,63.632813,.88,266.52023,fused,39,1
12288,1486837994234,1486819994234,13,1:33:14 PM,2017-02-11,11,6,18:33:14.234,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.459213,-79.92292,80.780212,10.42,279.61118,fused,6,2
12287,1486837985186,1486819985186,13,1:33:05 PM,2017-02-11,11,6,18:33:05.186,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.459072,-79.924011,80.030685,10.42,276.53024,gps,6.5,2
12286,1486837984209,1486819984209,13,1:33:04 PM,2017-02-11,11,6,18:33:04.209,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.459053,-79.924133,80.030685,9.0200005,276.32809,fused,6,2
12285,1486837979380,1486819979380,13,1:32:59 PM,2017-02-11,11,6,18:32:59.380,2017-02-11,7d83e987-89ac-414a-a98d-51563cba516b,40.458817,-79.925407,72.488075,11.45,277.10428,fused,7,2
