time_est,est_hour,weekday_est,movement,count
1486339422658,0,1,0,1
1486339422664,0,1,0,1
1486339477786,0,1,0,1
1486339477792,0,1,0,1
1486339723152,0,1,0,1
1486339723157,0,1,0,1
1486339777853,0,1,0,1
1486339777861,0,1,0,1
1486340023670,0,1,0,1
1486340023675,0,1,0,1
1486340077914,0,1,0,1
1486340077920,0,1,0,1
1486340324223,0,1,0,1
1486340324229,0,1,0,1
1486340378000,0,1,0,1
1486340378006,0,1,0,1
1486340624691,0,1,0,1
1486340624697,0,1,0,1
1486340678024,0,1,0,1
1486340678031,0,1,0,1
1486340777090,0,1,0,1
1486340777094,0,1,0,1
1486340779353,0,1,0,1
1486340780184,0,1,0,1
1486341083349,0,1,0,1
1486341083355,0,1,0,1
1486341087108,0,1,0,1
1486341087146,0,1,0,1
1486341383315,0,1,0,1
1486341383329,0,1,0,1
1486341387581,0,1,0,1
1486341387634,0,1,0,1
1486341683382,0,1,0,1
1486341683390,0,1,0,1
1486341688096,0,1,0,1
1486341688102,0,1,0,1
1486341983440,0,1,0,1
1486341983447,0,1,0,1
1486341988617,0,1,0,1
1486341988623,0,1,0,1
1486342283506,0,1,0,1
1486342283513,0,1,0,1
1486342289125,0,1,0,1
1486342289131,0,1,0,1
1486342583555,0,1,0,1
1486342583561,0,1,0,1
1486342589648,0,1,0,1
1486342589653,0,1,0,1
1486944116939,0,1,0,1
1486944116945,0,1,0,1
1486944424242,0,1,0,1
1486944424248,0,1,0,1
1486944427148,0,1,0,1
1486944427153,0,1,0,1
1486944724300,0,1,0,1
1486944724306,0,1,0,1
1486944727658,0,1,0,1
1486944727663,0,1,0,1
1486945024333,0,1,0,1
1486945024338,0,1,0,1
1486945028141,0,1,0,1
1486945028200,0,1,0,1
1486945324402,0,1,0,1
1486945324408,0,1,0,1
1486945328680,0,1,0,1
1486945328684,0,1,0,1
1486945624493,0,1,0,1
1486945624507,0,1,0,1
1486945629143,0,1,0,1
1486945629149,0,1,0,1
1486945924554,0,1,0,1
1486945924560,0,1,0,1
1486945929681,0,1,0,1
1486945929685,0,1,0,1
1486946224624,0,1,0,1
1486946224649,0,1,0,1
1486946230238,0,1,0,1
1486946230242,0,1,0,1
1486946524687,0,1,0,1
1486946524693,0,1,0,1
1486946530783,0,1,0,1
1486946530787,0,1,0,1
1486946824732,0,1,0,1
1486946824738,0,1,0,1
1486946831299,0,1,0,1
1486946831303,0,1,0,1
1486947124791,0,1,0,1
1486947124799,0,1,0,1
1486947131829,0,1,0,1
1486947131834,0,1,0,1
1486947424856,0,1,0,1
1486947424864,0,1,0,1
1486947432334,0,1,0,1
1486947432340,0,1,0,1
1487549021551,0,1,0,2
1487549021558,0,1,0,2
1487549190484,0,1,0,2
1487549190488,0,1,0,2
1487549321636,0,1,0,2
1487549321646,0,1,0,2
1487549491059,0,1,0,2
1487549491072,0,1,0,2
1487549791553,0,1,0,1
1487549791563,0,1,0,1
1487549921710,0,1,0,1
1487549921717,0,1,0,1
1487550092038,0,1,0,1
1487550092044,0,1,0,1
1487550221794,0,1,0,1
1487550221802,0,1,0,1
1487550392542,0,1,0,1
1487550392548,0,1,0,1
1487550521880,0,1,0,1
1487550521887,0,1,0,1
1487550693098,0,1,0,1
1487550693102,0,1,0,1
1487550821930,0,1,0,1
1487550821949,0,1,0,1
1487550993589,0,1,0,1
1487550993595,0,1,0,1
1487551121995,0,1,0,1
1487551122002,0,1,0,1
